RAJ2000,DEJ2000,_2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,Rflg,Bflg,Cflg,Xflg,Aflg
172.376403,48.99514,11293033+4859425,15.365,0.054,14.826,0.066,14.693,0.086,AAA,222,111,000,0,0
172.485018,48.960869,11295640+4857391,15.643,0.07,14.975,0.07,14.916,0.112,AAB,222,111,000,0,0
172.428756,48.970406,11294290+4858134,15.308,,15.335,0.133,14.293,,UBU,20,10,000,2,0
172.424198,48.969898,11294180+4858116,15.963,0.094,15.188,0.11,14.83,0.133,ABB,222,122,0cc,2,0
172.42642,48.970161,11294234+4858125,15.392,0.076,14.601,0.092,14.335,0.083,AAA,222,122,0cc,1,0
172.517364,49.006638,11300416+4900238,15.123,0.047,14.652,0.057,14.66,0.082,AAA,222,111,000,0,0
172.547249,48.985996,11301133+4859095,16.692,0.166,15.522,,15.15,,CUU,200,100,000,0,0
172.589482,49.009659,11302147+4900347,16.192,0.101,15.597,0.139,15.229,0.136,ABB,222,111,000,0,0
172.582597,49.012562,11301982+4900452,16.297,0.109,15.625,0.126,15.535,0.19,ABC,222,111,000,0,0
172.581816,49.044472,11301963+4902400,14.729,0.034,14.179,0.044,13.963,0.049,AAA,222,111,000,0,0
172.424609,48.99699,11294190+4859491,15.615,0.067,15.082,0.08,14.826,0.098,AAA,222,111,000,0,0
172.440338,48.995636,11294568+4859442,15.755,0.074,15.109,0.098,14.848,0.104,AAA,222,111,000,0,0
172.455899,49.001858,11294941+4900066,16.77,0.18,15.971,0.186,15.768,0.237,CCD,222,111,000,0,0
172.506406,49.01561,11300153+4900561,16.042,0.094,14.944,,14.392,,AUU,266,200,c00,0,0
172.513982,49.034111,11300335+4902027,14.79,0.038,14.445,0.052,14.508,0.071,AAA,222,111,000,0,0
172.523102,49.037544,11300554+4902151,16.465,0.129,16.276,0.232,15.558,,BDU,220,110,000,0,0
172.568647,49.05809,11301647+4903291,16.5,0.136,16.128,,15.787,,BUU,200,100,000,0,0
172.594939,49.076069,11302278+4904338,16.829,0.185,16.031,0.178,16.064,0.278,CCD,222,111,000,0,0
172.547919,49.072487,11301150+4904209,17.309,0.289,16.183,0.2,15.593,0.2,DCC,222,111,000,0,0
172.580697,49.081745,11301936+4904542,16.185,0.1,15.379,0.106,15.415,0.155,AAC,222,111,000,0,0
172.172491,48.909714,11284139+4854349,16.899,0.156,16.637,,17.358,,CUU,200,100,000,0,0
172.186176,48.905174,11284468+4854186,15.709,0.061,15.109,0.07,14.946,0.114,AAB,222,111,000,0,0
172.187419,48.902168,11284498+4854078,16.536,0.122,16.076,0.178,15.749,0.193,BCC,222,111,000,0,0
172.199653,48.917465,11284791+4855028,14.847,0.036,14.28,0.053,14.049,0.047,AAA,222,111,000,0,0
172.213169,48.937878,11285116+4856163,15.579,0.07,14.917,0.056,14.686,0.083,AAA,222,111,000,0,0
172.146662,48.933453,11283519+4856004,16.322,0.137,15.602,0.151,15.305,0.163,BBC,222,111,000,0,0
172.111868,48.964436,11282684+4857519,13.853,0.031,13.258,0.022,13.095,0.035,AAA,222,111,000,0,0
172.139586,48.954304,11283350+4857154,8.031,0.02,7.869,0.02,7.85,0.021,AAA,111,111,000,0,0
172.141973,48.954121,11283407+4857148,10.178,,13.363,0.015,9.965,,UAU,20,10,0c0,0,0
172.123435,48.972164,11282962+4858197,17.092,0.261,15.996,0.205,15.496,0.195,DCC,222,111,000,0,0
172.189624,48.984669,11284550+4859048,12.713,0.028,12.425,0.036,12.377,0.02,AAA,222,111,000,0,0
172.211495,48.999207,11285075+4859571,14.415,0.036,13.725,0.038,13.566,0.034,AAA,222,111,000,0,0
172.117923,48.995731,11282830+4859446,15.427,0.064,14.675,0.066,14.552,0.088,AAA,222,111,000,0,0
172.122871,49.0149,11282948+4900536,16.467,0.149,15.843,,15.396,0.169,BUC,202,101,000,0,0
172.130006,49.02412,11283120+4901268,15.071,0.049,14.854,0.069,14.709,0.105,AAA,222,111,000,0,0
172.170343,49.043602,11284088+4902369,15.547,0.073,15.243,0.104,15.035,0.13,AAB,222,111,000,0,0
172.140244,49.056675,11283365+4903240,16.518,0.162,16.587,,15.908,,CUU,200,100,000,0,0
172.126659,49.038593,11283039+4902189,14.822,0.044,14.166,0.047,14.172,0.068,AAA,222,111,000,0,0
172.168125,49.083649,11284035+4905011,16.729,0.186,15.893,0.191,15.686,0.231,CCD,222,111,000,0,0
172.173473,49.105888,11284163+4906211,15.231,0.056,14.775,0.068,14.782,0.105,AAA,222,111,000,0,0
172.261284,48.942959,11290270+4856346,13.303,0.028,12.844,0.034,12.743,0.022,AAA,222,111,000,0,0
172.30371,48.989002,11291289+4859204,15.954,0.064,15.118,0.087,14.815,0.091,AAA,222,111,000,0,0
172.302258,48.963505,11291254+4857486,13.394,0.027,12.973,0.038,12.872,0.025,AAA,222,111,000,0,0
172.288999,48.965694,11290935+4857564,14.866,0.039,14.184,0.049,13.96,0.048,AAA,222,111,000,0,0
172.306223,48.975491,11291349+4858317,16.625,0.14,15.857,0.184,15.308,0.153,BCB,222,111,000,0,0
172.222732,48.954037,11285345+4857145,16.023,0.069,15.553,0.102,15.271,0.127,ABB,222,111,000,0,0
172.285193,48.997883,11290844+4859523,14.759,0.046,14.312,0.04,14.245,0.055,AAA,222,111,000,0,0
172.275606,48.991077,11290614+4859278,16.042,0.064,15.332,0.093,15.301,0.124,AAB,222,111,0c0,0,0
172.314351,49.021088,11291544+4901159,15.702,0.052,15.084,0.082,14.894,0.095,AAA,222,111,000,0,0
172.341271,49.009747,11292190+4900350,16.921,0.137,16.063,0.184,15.236,,BCU,220,110,cc0,0,0
172.339153,49.00938,11292139+4900337,14.494,0.039,13.923,0.056,13.84,0.05,AAA,222,111,000,0,0
172.340392,49.031963,11292169+4901550,16.441,0.096,16.266,0.21,15.847,0.221,ACD,222,111,c00,0,0
172.378151,49.044167,11293075+4902390,16.304,0.119,15.597,0.122,15.423,0.166,BBC,222,111,000,0,0
172.309464,49.02771,11291427+4901397,12.633,0.027,12.191,0.035,12.163,0.02,AAA,222,111,000,0,0
172.31743,49.03791,11291618+4902164,16.658,0.118,16.363,0.212,16.175,,BDU,220,110,000,0,0
172.336071,49.038635,11292065+4902190,12.676,0.028,12.368,0.034,12.299,0.022,AAA,222,111,000,0,0
172.336472,49.034298,11292075+4902034,12.836,0.028,12.46,0.034,12.415,0.025,AAA,222,111,000,0,0
172.391884,49.083786,11293405+4905016,16.864,0.194,16.025,0.195,15.795,0.245,CCD,222,111,000,0,0
172.380142,49.062988,11293123+4903467,13.17,0.022,12.793,0.025,12.734,0.027,AAA,222,111,000,0,0
172.320198,49.059776,11291684+4903351,16.582,0.107,16.573,0.249,15.808,0.221,ADD,222,111,000,0,0
172.365413,49.101257,11292769+4906045,13.958,0.036,13.367,0.035,13.088,0.025,AAA,222,111,000,0,0
172.380564,49.083454,11293133+4905004,12.669,0.021,12.322,0.022,12.237,0.023,AAA,222,111,000,0,0
172.418395,49.0228,11294041+4901220,16.332,0.116,15.606,0.128,15.325,0.144,BBB,222,111,000,0,0
172.433473,49.032703,11294403+4901577,16.647,0.164,15.608,0.159,15.042,0.13,CCB,222,111,000,0,0
172.420888,49.072281,11294101+4904202,15.982,0.094,15.356,0.111,14.773,0.099,ABA,222,111,000,0,0
172.417918,49.068161,11294030+4904053,17.099,0.242,15.811,0.16,15.206,,DCU,220,110,000,0,0
172.465104,49.075718,11295162+4904325,16.165,0.101,15.681,0.137,15.394,0.164,ABC,222,111,000,0,0
172.52176,49.092682,11300522+4905336,16.638,,15.838,,15.325,0.154,UUB,2,1,000,0,0
172.55596,49.107563,11301343+4906272,16.204,0.107,15.516,0.118,15.132,0.138,ABB,222,111,000,0,0
172.577561,49.125298,11301861+4907310,16.23,0.105,15.818,0.16,15.39,,ACU,220,110,000,0,0
172.557502,49.140491,11301380+4908257,15.302,0.051,14.919,0.068,14.759,0.09,AAA,222,111,000,0,0
172.567503,49.136456,11301620+4908112,13.479,0.025,12.899,0.023,12.745,0.027,AAA,222,111,000,0,0
